id,generation,name,type1,type2,total,hp,attack,defense,sp_attack,sp_defense,speed,base_egg_steps,base_happiness,capture_rate,experience_growth,height_m,weight_kg,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,official_class,special_group
1,1,Bulbasaur,grass,poison,318,45,49,49,65,65,45,5120,70,45,1059860,0.7,6.9,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,normal,none
2,1,Ivysaur,grass,poison,405,60,62,63,80,80,60,5120,70,45,1059860,1.0,13.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,normal,none
3,1,Venusaur,grass,poison,525,80,82,83,100,100,80,5120,70,45,1059860,2.0,100.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,normal,none
3,1,Venusaur Mega Venusaur,grass,poison,625,80,100,123,122,120,80,5120,70,45,1059860,2.0,100.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,normal,none
4,1,Charmander,fire,,309,39,52,43,60,50,65,5120,70,45,1059860,0.6,8.5,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,normal,none
5,1,Charmeleon,fire,,405,58,64,58,80,65,80,5120,70,45,1059860,1.1,19.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,normal,none
6,1,Charizard,fire,flying,534,78,84,78,109,85,100,5120,70,45,1059860,1.7,90.5,0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,normal,none
6,1,Charizard Mega Charizard X,fire,dragon,634,78,130,111,130,85,100,5120,70,45,1059860,1.7,90.5,0.5,1.0,2.0,0.5,1.0,1.0,0.25,1.0,1.0,0.25,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,normal,none
6,1,Charizard Mega Charizard Y,fire,flying,634,78,104,78,159,115,100,5120,70,45,1059860,1.7,90.5,0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,normal,none
7,1,Squirtle,water,,314,44,48,65,50,64,43,5120,70,45,1059860,0.5,9.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,normal,none
8,1,Wartortle,water,,405,59,63,80,65,80,58,5120,70,45,1059860,1.0,22.5,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,normal,none
9,1,Blastoise,water,,530,79,83,100,85,105,78,5120,70,45,1059860,1.6,85.5,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,normal,none
9,1,Blastoise Mega Blastoise,water,,630,79,103,120,135,115,78,5120,70,45,1059860,1.6,85.5,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,normal,none
10,1,Caterpie,bug,,195,45,30,35,20,20,45,3840,70,255,1000000,0.3,2.9,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,normal,none
11,1,Metapod,bug,,205,50,20,55,25,25,30,3840,70,120,1000000,0.7,9.9,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,normal,none
12,1,Butterfree,bug,flying,395,60,45,50,90,80,70,3840,70,45,1000000,1.1,32.0,0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,normal,none
13,1,Weedle,bug,poison,195,40,35,30,20,20,50,3840,70,255,1000000,0.3,3.2,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,normal,none
14,1,Kakuna,bug,poison,205,45,25,50,25,25,35,3840,70,120,1000000,0.6,10.0,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,normal,none
15,1,Beedrill,bug,poison,395,65,90,40,45,80,75,3840,70,45,1000000,1.0,29.5,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,normal,none
15,1,Beedrill Mega Beedrill,bug,poison,495,65,150,40,15,80,145,3840,70,45,1000000,1.0,29.5,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,normal,none
16,1,Pidgey,normal,flying,251,40,45,40,35,35,56,3840,70,255,1059860,0.3,1.8,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,normal,none
17,1,Pidgeotto,normal,flying,349,63,60,55,50,50,71,3840,70,120,1059860,1.1,30.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,normal,none
18,1,Pidgeot,normal,flying,479,83,80,75,70,70,101,3840,70,45,1059860,1.5,39.5,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,normal,none
18,1,Pidgeot Mega Pidgeot,normal,flying,579,83,80,80,135,80,121,3840,70,45,1059860,1.5,39.5,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,normal,none
19,1,Rattata,normal,,253,30,56,35,25,35,72,3840,70,255,1000000,0.3,3.5,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,normal,none
19,1,Rattata Alolan Rattata,dark,normal,253,30,56,35,25,35,72,3840,70,255,1000000,0.3,3.5,2.0,0.5,1.0,1.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,normal,none
20,1,Raticate,normal,,413,55,81,60,50,70,97,3840,70,127,1000000,0.7,18.5,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,normal,none
20,1,Raticate Alolan Raticate,dark,normal,413,75,71,70,40,80,77,3840,70,127,1000000,0.7,18.5,2.0,0.5,1.0,1.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,normal,none
21,1,Spearow,normal,flying,262,40,60,30,31,31,70,3840,70,255,1000000,0.3,2.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,normal,none
22,1,Fearow,normal,flying,442,65,90,65,61,61,100,3840,70,90,1000000,1.2,38.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,normal,none
23,1,Ekans,poison,,288,35,60,44,40,54,55,5120,70,255,1000000,2.0,6.9,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,normal,none
24,1,Arbok,poison,,448,60,95,69,65,79,80,5120,70,90,1000000,3.5,65.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,normal,none
25,1,Pikachu,electric,,320,35,55,40,50,50,90,2560,70,190,1000000,0.4,6.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,normal,none
25,1,Pikachu Partner Pikachu,electric,,430,45,80,50,75,60,120,2560,70,190,1000000,0.4,6.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,normal,none
26,1,Raichu,electric,,485,60,90,55,90,80,110,2560,70,75,1000000,0.8,30.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,normal,none
26,1,Raichu Alolan Raichu,electric,psychic,485,60,85,50,95,85,110,2560,70,75,1000000,0.8,30.0,2.0,2.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,normal,none
27,1,Sandshrew,ground,,300,50,75,85,20,30,40,5120,70,255,1000000,0.6,12.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,normal,none
27,1,Sandshrew Alolan Sandshrew,ice,steel,300,50,75,90,10,35,40,5120,70,255,1000000,0.6,12.0,0.5,1.0,0.5,1.0,0.5,4.0,4.0,0.5,0.5,0.5,2.0,0.25,0.5,0.0,0.5,1.0,1.0,1.0,normal,none
28,1,Sandslash,ground,,450,75,100,110,45,55,65,5120,70,90,1000000,1.0,29.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,normal,none
28,1,Sandslash Alolan Sandslash,ice,steel,450,75,100,120,25,65,65,5120,70,90,1000000,1.0,29.5,0.5,1.0,0.5,1.0,0.5,4.0,4.0,0.5,0.5,0.5,2.0,0.25,0.5,0.0,0.5,1.0,1.0,1.0,normal,none
29,1,Nidoranâ,poison,,275,55,47,52,40,40,41,5120,70,235,1059860,0.4,7.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,normal,none
30,1,Nidorina,poison,,365,70,62,67,55,55,56,5120,70,120,1059860,0.8,20.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,normal,none
31,1,Nidoqueen,poison,ground,505,90,92,87,75,85,76,5120,70,45,1059860,1.3,60.0,0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,normal,none
32,1,Nidoranâ,poison,,273,46,57,40,40,40,50,5120,70,235,1059860,0.5,9.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,normal,none
33,1,Nidorino,poison,,365,61,72,57,55,55,65,5120,70,120,1059860,0.9,19.5,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,normal,none
34,1,Nidoking,poison,ground,505,81,102,77,85,75,85,5120,70,45,1059860,1.4,62.0,0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,normal,none
35,1,Clefairy,fairy,,323,70,45,48,60,65,35,2560,140,150,800000,0.6,7.5,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,normal,none
36,1,Clefable,fairy,,483,95,70,73,95,90,60,2560,140,25,800000,1.3,40.0,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,normal,none
37,1,Vulpix,fire,,299,38,41,40,50,65,65,5120,70,190,1000000,0.6,9.9,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,normal,none
37,1,Vulpix Alolan Vulpix,ice,,299,38,41,40,50,65,65,5120,70,190,1000000,0.6,9.9,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,2.0,2.0,1.0,normal,none
38,1,Ninetales,fire,,505,73,76,75,81,100,100,5120,70,75,1000000,1.1,19.9,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,normal,none
38,1,Ninetales Alolan Ninetales,ice,fairy,505,73,67,75,81,100,109,5120,70,75,1000000,1.1,19.9,0.5,0.5,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,2.0,4.0,1.0,normal,none
39,1,Jigglypuff,normal,fairy,270,115,45,20,45,25,20,2560,70,170,800000,0.5,5.5,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,normal,none
40,1,Wigglytuff,normal,fairy,435,140,70,45,85,50,45,2560,70,50,800000,1.0,12.0,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,normal,none
41,1,Zubat,poison,flying,245,40,45,35,30,40,55,3840,70,255,1000000,0.8,7.5,0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,normal,none
42,1,Golbat,poison,flying,455,75,80,70,65,75,90,3840,70,90,1000000,1.6,55.0,0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,normal,none
43,1,Oddish,grass,poison,320,45,50,55,75,65,30,5120,70,255,1059860,0.5,5.4,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,normal,none
44,1,Gloom,grass,poison,395,60,65,70,85,75,40,5120,70,120,1059860,0.8,8.6,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,normal,none
45,1,Vileplume,grass,poison,490,75,80,85,110,90,50,5120,70,45,1059860,1.2,18.6,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,normal,none
46,1,Paras,bug,grass,285,35,70,55,45,55,25,5120,70,190,1000000,0.3,5.4,2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,normal,none
47,1,Parasect,bug,grass,405,60,95,80,60,80,30,5120,70,75,1000000,1.0,29.5,2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,normal,none
48,1,Venonat,bug,poison,305,60,55,50,40,55,45,5120,70,190,1000000,1.0,30.0,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,normal,none
49,1,Venomoth,bug,poison,450,70,65,60,90,75,90,5120,70,75,1000000,1.5,12.5,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,normal,none
50,1,Diglett,ground,,265,10,55,25,35,45,95,5120,70,255,1000000,0.2,0.8,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,normal,none
50,1,Diglett Alolan Diglett,ground,steel,265,10,55,30,35,45,90,5120,70,255,1000000,0.2,0.8,0.5,1.0,0.5,0.0,0.5,2.0,2.0,0.5,1.0,1.0,2.0,1.0,0.5,0.0,0.5,0.25,0.5,2.0,normal,none
51,1,Dugtrio,ground,,425,35,100,50,50,70,120,5120,70,50,1000000,0.7,33.3,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,normal,none
51,1,Dugtrio Alolan Dugtrio,ground,steel,425,35,100,60,50,70,110,5120,70,50,1000000,0.7,33.3,0.5,1.0,0.5,0.0,0.5,2.0,2.0,0.5,1.0,1.0,2.0,1.0,0.5,0.0,0.5,0.25,0.5,2.0,normal,none
52,1,Meowth,normal,,290,40,45,35,40,40,90,5120,70,255,1000000,0.4,4.2,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,normal,none
52,1,Meowth Alolan Meowth,dark,,290,40,35,35,50,40,90,5120,70,255,1000000,0.4,4.2,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,normal,none
52,1,Meowth Galarian Meowth,steel,,290,50,65,55,40,40,40,5120,70,255,1000000,0.4,4.2,0.5,1.0,0.5,1.0,0.5,2.0,2.0,0.5,1.0,0.5,2.0,0.5,0.5,0.0,0.5,0.5,0.5,1.0,normal,none
53,1,Persian,normal,,440,65,70,60,65,65,115,5120,70,90,1000000,1.0,32.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,normal,none
53,1,Persian Alolan Persian,dark,,440,65,60,60,75,65,115,5120,70,90,1000000,1.0,32.0,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,normal,none
54,1,Psyduck,water,,320,50,52,48,65,50,55,5120,70,190,1000000,0.8,19.6,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,normal,none
55,1,Golduck,water,,500,80,82,78,95,80,85,5120,70,75,1000000,1.7,76.6,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,normal,none
56,1,Mankey,fighting,,305,40,80,35,35,45,70,5120,70,190,1000000,0.5,28.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,normal,none
57,1,Primeape,fighting,,455,65,105,60,60,70,95,5120,70,75,1000000,1.0,32.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,normal,none
58,1,Growlithe,fire,,350,55,70,45,70,50,60,5120,70,190,1250000,0.7,19.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,normal,none
58,1,Growlithe Hisuian Growlithe,fire,rock,350,60,75,45,65,50,55,5120,70,190,1250000,0.7,19.0,0.5,1.0,1.0,1.0,0.5,2.0,0.25,0.5,1.0,1.0,4.0,0.5,0.5,0.5,1.0,2.0,1.0,4.0,normal,none
59,1,Arcanine,fire,,555,90,110,80,100,80,95,5120,70,75,1250000,1.9,155.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,normal,none
59,1,Arcanine Hisuian Arcanine,fire,rock,555,95,115,80,95,80,90,5120,70,75,1250000,1.9,155.0,0.5,1.0,1.0,1.0,0.5,2.0,0.25,0.5,1.0,1.0,4.0,0.5,0.5,0.5,1.0,2.0,1.0,4.0,normal,none
60,1,Poliwag,water,,300,40,50,40,40,40,90,5120,70,255,1059860,0.6,12.4,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,normal,none
61,1,Poliwhirl,water,,385,65,65,65,50,50,90,5120,70,120,1059860,1.0,20.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,normal,none
62,1,Poliwrath,water,fighting,510,90,95,95,70,90,70,5120,70,45,1059860,1.3,54.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5,normal,none
63,1,Abra,psychic,,310,25,20,15,105,55,90,5120,70,200,1059860,0.9,19.5,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,normal,none
64,1,Kadabra,psychic,,400,40,35,30,120,70,105,5120,70,100,1059860,1.3,56.5,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,normal,none
65,1,Alakazam,psychic,,500,55,50,45,135,95,120,5120,70,50,1059860,1.5,48.0,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,normal,none
65,1,Alakazam Mega Alakazam,psychic,,600,55,50,65,175,105,150,5120,70,50,1059860,1.5,48.0,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,normal,none
66,1,Machop,fighting,,305,70,80,50,35,35,35,5120,70,180,1059860,0.8,19.5,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,normal,none
67,1,Machoke,fighting,,405,80,100,70,50,60,45,5120,70,90,1059860,1.5,70.5,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,normal,none
68,1,Machamp,fighting,,505,90,130,80,65,85,55,5120,70,45,1059860,1.6,130.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,normal,none
69,1,Bellsprout,grass,poison,300,50,75,35,70,30,40,5120,70,255,1059860,0.7,4.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,normal,none
70,1,Weepinbell,grass,poison,390,65,90,50,85,45,55,5120,70,120,1059860,1.0,6.4,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,normal,none
71,1,Victreebel,grass,poison,490,80,105,65,100,70,70,5120,70,45,1059860,1.7,15.5,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,normal,none
72,1,Tentacool,water,poison,335,40,40,35,50,100,70,5120,70,190,1250000,0.9,45.5,0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,normal,none
73,1,Tentacruel,water,poison,515,80,70,65,80,120,100,5120,70,60,1250000,1.6,55.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,normal,none
74,1,Geodude,rock,ground,300,40,80,100,30,30,20,3840,70,255,1059860,0.4,20.0,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,normal,none
74,1,Geodude Alolan Geodude,rock,electric,300,40,80,100,30,30,20,3840,70,255,1059860,0.4,20.0,1.0,1.0,1.0,0.5,1.0,2.0,0.5,0.25,1.0,2.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,2.0,normal,none
