pokedex_id,name,type1,type2,official_class,special_group,total_base_stats,hp,attack,defense,sp_attack,sp_defense,speed
150,Mewtwo Mega Mewtwo X,psychic,fighting,normal,none,780,106,190,100,154,100,130
214,Heracross Mega Heracross,bug,fighting,normal,none,600,80,185,115,40,105,75
798,Kartana,grass,steel,normal,ultra_beast,570,59,181,131,59,31,109
384,Rayquaza Mega Rayquaza,dragon,flying,normal,none,780,105,180,100,180,100,115
383,Groudon Primal Groudon,ground,fire,normal,none,770,100,180,160,150,90,90
445,Garchomp Mega Garchomp,dragon,ground,normal,none,700,108,170,115,120,95,92
646,Kyurem Black Kyurem,dragon,ice,normal,none,700,125,170,100,120,90,95
800,Necrozma Ultra Necrozma,psychic,dragon,normal,none,754,97,167,97,167,97,129
898,Calyrex Ice Rider,psychic,ice,normal,none,680,100,165,150,85,130,50
475,Gallade Mega Gallade,psychic,fighting,normal,none,618,68,165,95,65,115,110
