pokedex_id,name,type1,type2,official_class,special_group,total_base_stats,hp,attack,defense,sp_attack,sp_defense,speed
890,Eternatus Eternamax,poison,dragon,normal,none,1125,255,115,250,125,250,130
150,Mewtwo Mega Mewtwo X,psychic,fighting,normal,none,780,106,190,100,154,100,130
150,Mewtwo Mega Mewtwo Y,psychic,,normal,none,780,106,150,70,194,120,140
384,Rayquaza Mega Rayquaza,dragon,flying,normal,none,780,105,180,100,180,100,115
383,Groudon Primal Groudon,ground,fire,normal,none,770,100,180,160,150,90,90
382,Kyogre Primal Kyogre,water,,normal,none,770,100,150,90,180,160,90
800,Necrozma Ultra Necrozma,psychic,dragon,normal,none,754,97,167,97,167,97,129
718,Zygarde Complete Forme,dragon,ground,normal,none,708,216,100,121,91,95,85
719,Diancie Mega Diancie,rock,fairy,normal,none,700,50,160,110,160,110,110
445,Garchomp Mega Garchomp,dragon,ground,normal,none,700,108,170,115,120,95,92
