id,generation,name,type1,type2,total,hp,attack,defense,sp_attack,sp_defense,speed,base_egg_steps,base_happiness,capture_rate,experience_growth,height_m,weight_kg,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,official_class,special_group,standard
658,6,Greninja Ash-Greninja,water,dark,640,72,145,67,153,71,132,5120,70,45,1059860,1.5,40.0,2.0,0.5,1.0,2.0,2.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,0.0,1.0,0.5,0.5,normal,none,1
609,5,Chandelure,ghost,fire,520,60,55,90,145,90,80,5120,70,45,1059860,1.0,34.3,0.25,2.0,1.0,1.0,0.5,0.0,0.5,1.0,2.0,0.5,2.0,0.5,0.0,0.5,1.0,2.0,0.5,2.0,normal,none,1
864,8,Cursola,ghost,,510,60,95,50,145,130,30,5120,50,30,800000,1.0,0.4,0.5,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,normal,none,1
738,7,Vikavolt,bug,electric,500,77,70,90,145,75,43,3840,70,45,1000000,1.5,45.0,1.0,1.0,1.0,0.5,1.0,0.5,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,normal,none,1
681,6,Aegislash Blade Forme,steel,ghost,500,60,140,50,140,50,60,5120,70,45,1000000,1.7,53.0,0.25,2.0,0.5,1.0,0.5,0.0,2.0,0.5,2.0,0.5,2.0,0.5,0.0,0.0,0.5,0.5,0.5,1.0,normal,none,1
555,5,Darmanitan Zen Mode,fire,psychic,540,105,30,105,140,105,55,5120,70,60,1059860,1.3,92.9,1.0,2.0,1.0,1.0,0.5,0.5,0.5,1.0,2.0,0.5,2.0,0.5,1.0,1.0,0.5,2.0,0.5,2.0,normal,none,1
746,7,Wishiwashi School Form,water,,620,45,140,130,140,135,30,3840,70,60,800000,0.2,0.3,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,normal,none,1
858,8,Hatterene,psychic,fairy,510,57,90,95,136,103,29,5120,50,45,1250000,2.1,5.1,1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,normal,none,1
65,1,Alakazam,psychic,,500,55,50,45,135,95,120,5120,70,50,1059860,1.5,48.0,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,normal,none,1
780,7,Drampa,normal,dragon,485,78,60,85,135,91,36,5120,70,70,1000000,3.0,185.0,1.0,1.0,2.0,0.5,2.0,2.0,0.5,1.0,0.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,normal,none,1
