id,generation,name,type1,type2,total,hp,attack,defense,sp_attack,sp_defense,speed,base_egg_steps,base_happiness,capture_rate,experience_growth,height_m,weight_kg,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,official_class,special_group,standard
289,3,Slaking,normal,,670,150,160,100,95,65,100,3840,70,45,1250000,2.0,130.5,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,normal,none,1
964,9,Palafin Hero Form,water,,650,100,160,97,106,87,100,10240,50,45,1250000,1.3,60.2,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,normal,none,1
658,6,Greninja Ash-Greninja,water,dark,640,72,145,67,153,71,132,5120,70,45,1059860,1.5,40.0,2.0,0.5,1.0,2.0,2.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,0.0,1.0,0.5,0.5,normal,none,1
746,7,Wishiwashi School Form,water,,620,45,140,130,140,135,30,3840,70,60,800000,0.2,0.3,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,normal,none,1
567,5,Archeops,rock,flying,567,75,140,65,112,65,110,7680,70,45,1000000,1.4,32.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,0.0,2.0,0.5,0.5,1.0,2.0,2.0,2.0,normal,none,1
59,1,Arcanine,fire,,555,90,110,80,100,80,95,5120,70,75,1250000,1.9,155.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,normal,none,1
59,1,Hisuian Arcanine,fire,rock,555,95,115,80,95,80,90,5120,70,75,1250000,1.9,155.0,0.5,1.0,1.0,1.0,0.5,2.0,0.25,0.5,1.0,1.0,4.0,0.5,0.5,0.5,1.0,2.0,1.0,4.0,normal,none,1
671,6,Florges,fairy,,552,78,65,68,112,154,75,5120,70,45,1000000,1.1,10.0,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,normal,none,1
1000,9,Gholdengo,steel,ghost,550,87,60,95,133,91,84,12800,50,45,1250000,1.2,30.0,0.25,2.0,0.5,1.0,0.5,0.0,2.0,0.5,2.0,0.5,2.0,0.5,0.0,0.0,0.5,0.5,0.5,1.0,normal,none,1
983,9,Kingambit,dark,steel,550,100,135,120,60,85,50,5120,50,25,1000000,2.0,120.0,1.0,0.5,0.5,1.0,1.0,4.0,2.0,0.5,0.5,0.5,2.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,normal,none,1
